First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Robert,Pollard,64,Firefighter,Volunteer,"Dec 31, 1999","Jan 1, 2000",Stress/Overexertion,Stroke,Response,Vehicle Passenger,Yes,Outdoor Property,
Lee,Purdy,57,Pump Operator/Inspector,Volunteer,"Jan 8, 2000","Jan 8, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Ronald,Osadacz,36,First Assistant Chief,Volunteer,"Jan 11, 2000","Jan 11, 2000",Stress/Overexertion,Heart Attack,Response,Advance Hose Lines/Fire Attack,Yes,Street/Road,
Allen,Streeter,58,Firefighter,Volunteer,"Jan 11, 2000","Jan 11, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Outdoor Property,
Gary,"Bankert, Sr",37,Firefighter,Volunteer,"Jan 15, 2000","Jan 15, 2000",Trapped,Suffocation,Training,Other,No,N/A,
Juan,De Leon,53,Captain,Career,"Jan 17, 2000","Jan 17, 2000",Stress/Overexertion,Heart Attack,On-Duty,Support,No,Store/Office,
Ernest,Young,52,Firefighter/Trustee,Volunteer,"Jan 16, 2000","Jan 17, 2000",Fall,Trauma,On-Duty,In-Station Duties,No,N/A,
James,Altic,47,Fire Chief,Volunteer,"Jan 17, 2000","Jan 17, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Brian,Burnett,23,Firefighter,Volunteer,"Oct 28, 1999","Jan 22, 2000",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Walter,Gass,74,Captain,Volunteer,"Jan 27, 2000","Jan 27, 2000",Exposure,Suffocation,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Robert,Ketelson,59,Firefighter,Volunteer,"Jan 27, 2000","Jan 27, 2000",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Douglas,Stevens,42,"Firefighter, Training Officer",Volunteer,"Feb 6, 2000","Feb 6, 2000",Stress/Overexertion,Heart Attack,On-Scene Fire,Ventilation,Yes,Residential,
